,Age..ybp,Age..calender.,BSi.MAR..mgSiO2.cm2y.
1,(Years before 2002),NA,NA
348,5693,-3691,4.74
349,5715,-3713,4.34
350,5737,-3735,4.75
351,5759,-3757,3.44
352,5781,-3779,4.02
353,5803,-3801,3.88
354,5825,-3823,4.55
355,5847,-3845,6.42
356,5869,-3867,6.05
357,5891,-3889,4.06
358,5913,-3911,3.79
359,5935,-3933,5.71
360,5957,-3955,4.37
361,5979,-3977,5.04
362,6001,-3999,7.06
363,6023,-4021,7.85
364,6045,-4043,4.71
365,6067,-4065,6.56
366,6090,-4088,6.93
367,6112,-4110,7.98
368,6134,-4132,8.24
369,6156,-4154,5.27
370,6178,-4176,6.69
371,6200,-4198,5.82
372,6222,-4220,6.23
373,6244,-4242,5.41
374,6266,-4264,7.15
375,6288,-4286,6.3
376,6310,-4308,7.18
377,6332,-4330,6.39
378,6354,-4352,6.31
379,6376,-4374,5.33
380,6398,-4396,5.28
381,6420,-4418,7.03
382,6442,-4440,6.99
383,6464,-4462,7.97
384,6486,-4484,5.23
385,6508,-4506,6.75
386,6530,-4528,7.42
387,6552,-4550,6.82
388,6574,-4572,5.97
389,6596,-4594,5.68
390,6618,-4616,3.96
391,6640,-4638,5.7
392,6662,-4660,6.31
393,6684,-4682,6.7
394,6706,-4704,4.16
395,6728,-4726,6.44
396,6750,-4748,5.78
397,6772,-4770,5.23
398,6794,-4792,5.3
399,6816,-4814,7.53
400,6838,-4836,5.68
401,6860,-4858,5.76
402,6882,-4880,5.69
403,6904,-4902,7.23
404,6926,-4924,4.3
405,6948,-4946,5.84
406,6970,-4968,7.09
407,6992,-4990,5.64
408,7014,-5012,6.79
409,7036,-5034,9.22
410,7058,-5056,4.11
411,7080,-5078,3.92
412,7102,-5100,5.81
413,7124,-5122,7.21
414,7146,-5144,6.62
415,7168,-5166,4.67
416,7190,-5188,4.87
417,7212,-5210,5
418,7234,-5232,7.81
419,7256,-5254,6.99
420,7278,-5276,6.54
421,7301,-5299,5.33
422,7323,-5321,7.24
423,7345,-5343,5.86
424,7367,-5365,4.47
425,7389,-5387,6.23
426,7411,-5409,5.28
427,7433,-5431,5.09
428,7455,-5453,4.52
429,7477,-5475,6.71
430,7499,-5497,5.82
431,7521,-5519,6.59
432,7543,-5541,6.29
433,7565,-5563,6.79
434,7587,-5585,4.35
435,7609,-5607,3.85
436,7631,-5629,3.89
437,7653,-5651,5.52
438,7675,-5673,6.31
439,7697,-5695,7.44
440,7719,-5717,9.55
441,7741,-5739,7.08
442,7763,-5761,6.92
443,7785,-5783,6.74
444,7807,-5805,7.07
445,7829,-5827,5.4
446,7851,-5849,4.66
447,7873,-5871,5.48
448,7895,-5893,5.03
449,7917,-5915,5.93
450,7939,-5937,6.84
451,7961,-5959,5.92
452,7983,-5981,5.66
453,8005,-6003,4.76
454,8027,-6025,4.91
455,8049,-6047,4.76
456,8071,-6069,6.6
457,8093,-6091,6.6
458,8115,-6113,6.49
459,8137,-6135,6.4
460,8159,-6157,6.22
461,8181,-6179,6.11
462,8203,-6201,7.41
463,8225,-6223,7.59
464,8247,-6245,6.56
465,8269,-6267,4.52
466,8291,-6289,5.95
467,8313,-6311,5.37
468,8335,-6333,4.88
469,8357,-6355,4.46
470,8379,-6377,4.9
471,8401,-6399,4.71
472,8423,-6421,5.7
473,8445,-6443,4.11
474,8467,-6465,6.46
475,8490,-6488,5.27
476,8512,-6510,5.72
477,8534,-6532,4.61
478,8556,-6554,5.12
479,8578,-6576,4.81
480,8600,-6598,5.35
481,8622,-6620,6.8
482,8644,-6642,5.57
483,8666,-6664,5.59
484,8688,-6686,6.71
485,8710,-6708,6.61
