"","Year","thickness_type","n"
"424",-839,"light layer",0.36
"425",-838,"dark layer",0.03
"426",-838,"light layer",1.07
"427",-837,"dark layer",0.1
"428",-837,"light layer",0.3
"429",-836,"dark layer",0.1
"430",-836,"light layer",0.3
"431",-835,"dark layer",0.2
"432",-835,"light layer",1.2
"433",-834,"dark layer",0.1
"434",-834,"light layer",1.1
"435",-833,"dark layer",0.2
"436",-833,"light layer",1
"437",-832,"dark layer",0.2
"438",-832,"light layer",0.9
"439",-831,"dark layer",0.1
"440",-831,"light layer",0.9
"441",-830,"dark layer",0.1
"442",-830,"light layer",0.3
"443",-829,"dark layer",0.06
"444",-829,"light layer",1.44
"445",-828,"dark layer",0.2
"446",-828,"light layer",0.4
"447",-827,"dark layer",0.1
"448",-827,"light layer",0.9
"449",-826,"dark layer",0.04
"450",-826,"light layer",0.76
"451",-825,"dark layer",0.2
"452",-825,"light layer",0.6
"453",-824,"dark layer",0.2
"454",-824,"light layer",1.8
"455",-823,"dark layer",0.1
"456",-823,"light layer",0.7
"457",-822,"dark layer",0.04
"458",-822,"light layer",1.36
"459",-821,"dark layer",0.04
"460",-821,"light layer",0.16
"461",-820,"dark layer",0.2
"462",-820,"light layer",0.7
"463",-819,"dark layer",0.04
"464",-819,"light layer",0.56
"465",-818,"dark layer",0.1
"466",-818,"light layer",0.6
"467",-817,"dark layer",0.06
"468",-817,"light layer",0.94
"469",-816,"dark layer",0.04
"470",-816,"light layer",0.36
"471",-815,"dark layer",0.04
"472",-815,"light layer",1.36
"473",-814,"dark layer",0.1
"474",-814,"light layer",0.4
"475",-813,"dark layer",0.04
"476",-813,"light layer",0.26
"477",-812,"dark layer",0.03
"478",-812,"light layer",0.87
"479",-811,"dark layer",0.2
"480",-811,"light layer",0.5
"481",-810,"dark layer",0.04
"482",-810,"light layer",0.46
"483",-809,"dark layer",0.03
"484",-809,"light layer",0.37
"485",-808,"dark layer",0.04
"486",-808,"light layer",0.26
"487",-807,"dark layer",0.04
"488",-807,"light layer",0.36
"489",-806,"dark layer",0.04
"490",-806,"light layer",1.06
"491",-805,"dark layer",0.06
"492",-805,"light layer",0.24
"493",-804,"dark layer",0.1
"494",-804,"light layer",0.4
"495",-803,"dark layer",0.1
"496",-803,"light layer",1.2
"497",-802,"dark layer",0.2
"498",-802,"light layer",0.4
"499",-801,"dark layer",0.06
"500",-801,"light layer",0.44
"501",-800,"dark layer",0.2
"502",-800,"light layer",0.5
"503",-799,"dark layer",0.3
"504",-799,"light layer",0.4
"505",-798,"dark layer",0.1
"506",-798,"light layer",0.5
"507",-797,"dark layer",0.1
"508",-797,"light layer",0.4
"509",-796,"dark layer",0.1
"510",-796,"light layer",0.5
"511",-795,"dark layer",0.1
"512",-795,"light layer",1.2
"513",-794,"dark layer",0.2
"514",-794,"light layer",1
"515",-793,"dark layer",0.2
"516",-793,"light layer",0.4
"517",-792,"dark layer",0.2
"518",-792,"light layer",1.4
"519",-791,"dark layer",0.3
"520",-791,"light layer",0.5
"521",-790,"dark layer",0.2
"522",-790,"light layer",1.6
"523",-789,"dark layer",0.4
"524",-789,"light layer",0.5
"525",-788,"dark layer",0.04
"526",-788,"light layer",0.86
"527",-787,"dark layer",0.04
"528",-787,"light layer",0.36
"529",-786,"dark layer",0.1
"530",-786,"light layer",0.96
"531",-785,"dark layer",0.2
"532",-785,"light layer",0.2
"533",-784,"dark layer",0.04
"534",-784,"light layer",0.76
"535",-783,"dark layer",0.1
"536",-783,"light layer",0.4
"537",-782,"dark layer",0.04
"538",-782,"light layer",0.26
"539",-781,"dark layer",0.03
"540",-781,"light layer",0.11
"541",-780,"dark layer",0.04
"542",-780,"light layer",0.16
"543",-779,"dark layer",0.1
"544",-779,"light layer",0.4
"545",-778,"dark layer",0.1
"546",-778,"light layer",1.4
"547",-777,"dark layer",0.1
"548",-777,"light layer",0.5
"549",-776,"dark layer",0.1
"550",-776,"light layer",0.5
"551",-775,"dark layer",0.2
"552",-775,"light layer",0.5
"553",-774,"dark layer",0.1
"554",-774,"light layer",0.5
"555",-773,"dark layer",0.04
"556",-773,"light layer",0.76
"557",-772,"dark layer",0.02
"558",-772,"light layer",0.38
"559",-771,"dark layer",0.1
"560",-771,"light layer",2.6
"561",-770,"dark layer",0.1
"562",-770,"light layer",0.3
"563",-769,"dark layer",0.1
"564",-769,"light layer",2.3
"565",-768,"dark layer",0.1
"566",-768,"light layer",0.4
"567",-767,"dark layer",0.1
"568",-767,"light layer",0.3
"569",-766,"dark layer",0.2
"570",-766,"light layer",1.2
"571",-765,"dark layer",0.1
"572",-765,"light layer",0.1
"573",-764,"dark layer",0.04
"574",-764,"light layer",0.56
"575",-763,"dark layer",0.2
"576",-763,"light layer",0.6
"577",-762,"dark layer",0.2
"578",-762,"light layer",0.7
"579",-761,"dark layer",0.06
"580",-761,"light layer",0.54
"581",-760,"dark layer",0.1
"582",-760,"light layer",3.1
"583",-759,"dark layer",0.1
"584",-759,"light layer",0.3
"585",-758,"dark layer",0.2
"586",-758,"light layer",3.8
"587",-757,"dark layer",0.1
"588",-757,"light layer",0.7
"589",-756,"dark layer",0.04
"590",-756,"light layer",0.16
"591",-755,"dark layer",0.04
"592",-755,"light layer",0.46
"593",-754,"dark layer",0.2
"594",-754,"light layer",1.5
"595",-753,"dark layer",0.04
"596",-753,"light layer",0.36
"597",-752,"dark layer",0.1
"598",-752,"light layer",0.8
"599",-751,"dark layer",0.1
"600",-751,"light layer",1.1
"601",-750,"dark layer",0.2
"602",-750,"light layer",0.1
"603",-749,"dark layer",0.03
"604",-749,"light layer",0.57
"605",-748,"dark layer",0.1
"606",-748,"light layer",1
"607",-747,"dark layer",0.1
"608",-747,"light layer",0.9
"609",-746,"dark layer",0.04
"610",-746,"light layer",0.66
"611",-745,"dark layer",0.2
"612",-745,"light layer",0.6
"613",-744,"dark layer",0.1
"614",-744,"light layer",0.8
"615",-743,"dark layer",0.1
"616",-743,"light layer",0.4
"617",-742,"dark layer",0.2
"618",-742,"light layer",0.3
"619",-741,"dark layer",0.04
"620",-741,"light layer",0.36
"621",-740,"dark layer",0.04
"622",-740,"light layer",0.26
"623",-739,"dark layer",0.04
"624",-739,"light layer",0.26
"625",-738,"dark layer",0.04
"626",-738,"light layer",0.66
"627",-737,"dark layer",0.1
"628",-737,"light layer",0.16
"629",-736,"dark layer",0.04
"630",-736,"light layer",0.26
"631",-735,"dark layer",0.04
"632",-735,"light layer",0.16
"633",-734,"dark layer",0.04
"634",-734,"light layer",2.26
"635",-733,"dark layer",0.02
"636",-733,"light layer",6.38
"637",-732,"dark layer",0.1
"638",-732,"light layer",0.3
"639",-731,"dark layer",0.04
"640",-731,"light layer",0.16
"641",-730,"dark layer",0.2
"642",-730,"light layer",1.2
"643",-729,"dark layer",0.1
"644",-729,"light layer",0.1
"645",-728,"dark layer",0.06
"646",-728,"light layer",0.24
"647",-727,"dark layer",0.1
"648",-727,"light layer",0.7
"649",-726,"dark layer",0.2
"650",-726,"light layer",0.3
"651",-725,"dark layer",0.1
"652",-725,"light layer",0.4
"653",-724,"dark layer",0.1
"654",-724,"light layer",0.6
"655",-723,"dark layer",0.04
"656",-723,"light layer",0.96
"657",-722,"dark layer",0.04
"658",-722,"light layer",0.56
"659",-721,"dark layer",0.08
"660",-721,"light layer",0.62
"661",-720,"dark layer",0.1
"662",-720,"light layer",0.5
"663",-719,"dark layer",0.05
"664",-719,"light layer",1.05
"665",-718,"dark layer",0.05
"666",-718,"light layer",1.45
"667",-717,"dark layer",0.02
"668",-717,"light layer",0.38
"669",-716,"dark layer",0.1
"670",-716,"light layer",0.2
"671",-715,"dark layer",0.1
"672",-715,"light layer",0.2
"673",-714,"dark layer",0.08
"674",-714,"light layer",0.52
"675",-713,"dark layer",NA
"676",-713,"light layer",NA
"677",-712,"dark layer",NA
"678",-712,"light layer",NA
"679",-711,"dark layer",NA
"680",-711,"light layer",NA
"681",-710,"dark layer",NA
"682",-710,"light layer",NA
"683",-709,"dark layer",NA
"684",-709,"light layer",NA
"685",-708,"dark layer",NA
"686",-708,"light layer",NA
"687",-707,"dark layer",NA
"688",-707,"light layer",NA
"689",-706,"dark layer",NA
"690",-706,"light layer",NA
"691",-705,"dark layer",NA
"692",-705,"light layer",NA
"693",-704,"dark layer",NA
"694",-704,"light layer",NA
"695",-703,"dark layer",NA
"696",-703,"light layer",NA
"697",-702,"dark layer",NA
"698",-702,"light layer",NA
"699",-701,"dark layer",NA
"700",-701,"light layer",NA
"701",-700,"dark layer",NA
"702",-700,"light layer",NA
"703",-699,"dark layer",NA
"704",-699,"light layer",NA
"705",-698,"dark layer",0.1
"706",-698,"light layer",0.6
"707",-697,"dark layer",0.1
"708",-697,"light layer",0.5
"709",-696,"dark layer",0.1
"710",-696,"light layer",0.6
"711",-695,"dark layer",0.1
"712",-695,"light layer",0.5
"713",-694,"dark layer",0.02
"714",-694,"light layer",0.98
"715",-693,"dark layer",0.04
"716",-693,"light layer",0.56
"717",-692,"dark layer",0.04
"718",-692,"light layer",0.1
"719",-691,"dark layer",0.03
"720",-691,"light layer",0.43
"721",-690,"dark layer",0.1
"722",-690,"light layer",0.3
"723",-689,"dark layer",0.1
"724",-689,"light layer",0.2
"725",-688,"dark layer",0.06
"726",-688,"light layer",0.48
"727",-687,"dark layer",0.03
"728",-687,"light layer",0.47
"729",-686,"dark layer",0.04
"730",-686,"light layer",0.36
"731",-685,"dark layer",0.06
"732",-685,"light layer",1.74
"733",-684,"dark layer",0.12
"734",-684,"light layer",0.78
"735",-683,"dark layer",0.1
"736",-683,"light layer",0.6
"737",-682,"dark layer",0.2
"738",-682,"light layer",0.4
"739",-681,"dark layer",0.1
"740",-681,"light layer",0.3
"741",-680,"dark layer",0.1
"742",-680,"light layer",0.2
"743",-679,"dark layer",0.1
"744",-679,"light layer",0.4
"745",-678,"dark layer",0.1
"746",-678,"light layer",0.5
"747",-677,"dark layer",0.1
"748",-677,"light layer",1.5
"749",-676,"dark layer",0.1
"750",-676,"light layer",0.5
"751",-675,"dark layer",0.1
"752",-675,"light layer",1.3
"753",-674,"dark layer",0.1
"754",-674,"light layer",0.3
"755",-673,"dark layer",0.04
